transaction_id,customer_id,amount,customer_avg_amount,amount_ratio,velocity_10m,location_distance_km,hour,merchant_risk_index,is_new_device,is_fraud
tx-gen-000001,cust-0017,27.03,57.6,0.47,0,0.0,23,0.4,0,0
tx-gen-000002,cust-0009,209.225,83.69,2.5,1,0.0,6,0.1,0,0
tx-gen-000003,cust-0011,117.88,89.52,1.32,0,0.0,10,0.4,0,0
tx-gen-000004,cust-0030,95.9,105.05,0.91,0,0.0,8,0.1,0,0
tx-gen-000005,cust-0035,8.36,49.28,0.17,0,0.0,8,0.1,0,0
tx-gen-000006,cust-0030,1235.5,105.05,11.76,3,5389.0,23,0.8,0,1
tx-gen-000007,cust-0041,15.58,91.84,0.17,0,0.0,2,0.1,0,0
tx-gen-000008,cust-0050,10.86,181.57,0.06,0,0.0,1,0.4,0,0
tx-gen-000009,cust-0024,541.16,269.07,2.01,0,0.0,23,0.1,0,0
tx-gen-000010,cust-0006,35.46,38.58,0.92,2,0.0,5,0.1,0,0
tx-gen-000011,cust-0009,103.04,83.69,1.23,0,0.0,6,0.4,0,0
tx-gen-000012,cust-0039,5.0,215.8,0.02,0,0.0,6,0.4,0,0
tx-gen-000013,cust-0046,218.52499999999998,87.41,2.5,0,0.0,3,0.1,0,0
tx-gen-000014,cust-0008,343.98,192.55,1.79,0,0.0,19,0.1,0,0
tx-gen-000015,cust-0038,31.61,132.45,0.24,0,0.0,11,0.1,1,0
tx-gen-000016,cust-0022,10.29,51.28,0.2,0,0.0,15,0.1,0,0
tx-gen-000017,cust-0009,16.96,83.69,0.2,0,0.0,23,0.4,0,0
tx-gen-000018,cust-0027,33.2,91.53,0.36,0,0.0,19,0.1,0,0
tx-gen-000019,cust-0047,101.78,136.82,0.74,0,0.0,11,0.1,0,0
tx-gen-000020,cust-0007,50.35,89.03,0.57,0,0.0,7,0.4,0,0
tx-gen-000021,cust-0018,19.31,56.11,0.34,1,0.0,20,0.1,0,0
tx-gen-000022,cust-0007,84.26,89.03,0.95,2,0.0,4,0.1,1,0
tx-gen-000023,cust-0016,43.34,288.45,0.15,0,0.0,4,0.1,0,0
tx-gen-000024,cust-0004,73.49,212.71,0.35,0,0.0,4,0.1,0,0
tx-gen-000025,cust-0030,47.93,105.05,0.46,0,0.0,14,0.1,0,0
tx-gen-000026,cust-0004,129.53,212.71,0.61,0,0.0,8,0.1,0,0
tx-gen-000027,cust-0038,203.7,132.45,1.54,0,0.0,8,0.1,0,0
tx-gen-000028,cust-0012,23.41,105.11,0.22,0,0.0,4,0.1,1,0
tx-gen-000029,cust-0037,69.39,96.1,0.72,0,0.0,2,0.1,0,0
tx-gen-000030,cust-0038,118.87,132.45,0.9,0,0.0,19,0.1,0,0
tx-gen-000031,cust-0016,13.72,288.45,0.05,0,0.0,21,0.1,1,0
tx-gen-000032,cust-0005,640.94,53.47,11.99,7,4845.0,12,0.1,1,1
tx-gen-000033,cust-0009,78.28,83.69,0.94,0,0.0,6,0.1,0,0
tx-gen-000034,cust-0035,9.21,49.28,0.19,0,0.0,16,0.4,0,0
tx-gen-000035,cust-0020,15.27,227.03,0.07,0,0.0,10,0.1,0,0
tx-gen-000036,cust-0048,384.72499999999997,153.89,2.5,0,0.0,18,0.1,0,0
tx-gen-000037,cust-0014,546.25,218.5,2.5,0,0.0,0,0.4,1,0
tx-gen-000038,cust-0004,351.47,212.71,1.65,0,0.0,13,0.1,0,0
tx-gen-000039,cust-0009,30.4,83.69,0.36,0,0.0,20,0.1,0,0
tx-gen-000040,cust-0028,30.42,296.01,0.1,1,0.0,4,0.1,0,0
tx-gen-000041,cust-0010,252.87,219.36,1.15,0,0.0,14,0.4,0,0
tx-gen-000042,cust-0003,39.26,67.68,0.58,0,0.0,15,0.1,0,0
tx-gen-000043,cust-0007,11.59,89.03,0.13,2,0.0,23,0.1,0,0
tx-gen-000044,cust-0016,197.17,288.45,0.68,0,0.0,2,0.1,0,0
tx-gen-000045,cust-0022,5.0,51.28,0.1,0,0.0,11,0.1,0,0
tx-gen-000046,cust-0007,213.71,89.03,2.4,0,0.0,12,0.1,0,0
tx-gen-000047,cust-0030,31.46,105.05,0.3,0,0.0,17,0.1,0,0
tx-gen-000048,cust-0022,55.7,51.28,1.09,0,0.0,7,0.1,0,0
tx-gen-000049,cust-0044,103.3,276.55,0.37,1,0.0,19,0.1,0,0
tx-gen-000050,cust-0017,42.28,57.6,0.73,0,0.0,3,0.1,0,0
tx-gen-000051,cust-0047,108.26,136.82,0.79,2,0.0,17,0.4,0,0
tx-gen-000052,cust-0037,19.64,96.1,0.2,0,0.0,0,0.1,1,0
tx-gen-000053,cust-0035,123.2,49.28,2.5,0,0.0,22,0.1,1,0
tx-gen-000054,cust-0022,76.52,51.28,1.49,0,0.0,8,0.1,0,0
tx-gen-000055,cust-0021,159.25,63.7,2.5,0,0.0,21,0.4,0,0
tx-gen-000056,cust-0025,418.65,185.89,2.25,0,0.0,20,0.4,0,0
tx-gen-000057,cust-0001,54.72,60.06,0.91,0,0.0,3,0.1,0,0
tx-gen-000058,cust-0021,159.25,63.7,2.5,0,0.0,5,0.1,0,0
tx-gen-000059,cust-0048,14.26,153.89,0.09,0,0.0,17,0.1,0,0
tx-gen-000060,cust-0022,11.19,51.28,0.22,0,0.0,9,0.1,0,0
tx-gen-000061,cust-0002,5.0,104.26,0.05,1,0.0,5,0.4,0,0
tx-gen-000062,cust-0027,36.02,91.53,0.39,0,0.0,9,0.1,0,0
tx-gen-000063,cust-0026,24.01,48.78,0.49,1,0.0,17,0.1,0,0
tx-gen-000064,cust-0007,28.18,89.03,0.32,1,0.0,22,0.1,0,0
tx-gen-000065,cust-0030,185.37,105.05,1.76,0,0.0,16,0.1,0,0
tx-gen-000066,cust-0043,45.13,102.29,0.44,0,0.0,20,0.4,0,0
tx-gen-000067,cust-0029,87.05,263.95,0.33,1,0.0,22,0.1,0,0
tx-gen-000068,cust-0011,70.04,89.52,0.78,0,0.0,4,0.1,0,0
tx-gen-000069,cust-0041,13.95,91.84,0.15,0,0.0,10,0.1,0,0
tx-gen-000070,cust-0005,86.65,53.47,1.62,0,0.0,8,0.1,0,0
tx-gen-000071,cust-0006,5.0,38.58,0.13,0,0.0,1,0.1,0,0
tx-gen-000072,cust-0005,133.675,53.47,2.5,0,0.0,2,0.4,0,0
tx-gen-000073,cust-0027,135.42,91.53,1.48,1,0.0,3,0.1,0,0
tx-gen-000074,cust-0025,41.18,185.89,0.22,0,0.0,0,0.1,0,0
tx-gen-000075,cust-0027,5.0,91.53,0.05,1,0.0,17,0.4,0,0
tx-gen-000076,cust-0018,94.82,56.11,1.69,0,0.0,15,0.1,0,0
tx-gen-000077,cust-0026,59.86,48.78,1.23,2,0.0,13,0.1,0,0
